espn_id,name,pos,jersey,jersey_source,college_id,college_name,college_logo,college_source,draft_status,draft_year,draft_round,draft_pick,draft_team,draft_team_name,draft_source,included,notes,country,country_name,country_source
662,Paul Pierce,F,34,espn,2305,Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,espn,drafted,1998,1,10,BOS,Boston Celtics,espn,true,,us,United States,espn birthplace
813,Peja Stojakovic,F,,,,,,,drafted,1996,1,14,SAC,Sacramento Kings,espn,true,,rs,Serbia,espn birthplace
401,Popeye Jones,C,,,93,Murray State,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png,espn,drafted,1992,2,41,HOU,Houston Rockets,espn,true,,us,United States,espn birthplace
11,Rafer Alston,G,,,278,Fresno State,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,espn,drafted,1998,2,39,MIL,Milwaukee Bucks,espn,true,,us,United States,wikipedia birthplace
3026,Rajon Rondo,G,,,96,Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,espn,drafted,2006,1,21,PHX,Phoenix Suns,espn,true,,us,United States,espn birthplace
469,Rashard Lewis,F,,,,,,,drafted,1998,2,32,SEA,Seattle SuperSonics,espn,true,,us,United States,wikipedia birthplace
883,Rasheed Wallace,F,,,153,North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,espn,drafted,1995,1,4,WSB,Washington Bullets,espn,true,,us,United States,wikipedia birthplace
9,Ray Allen,G,,,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,espn,drafted,1996,1,5,MIN,Minnesota Timberwolves,espn,true,,us,United States,espn birthplace
2753,Raymond Felton,G,,,153,North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,espn,drafted,2005,1,5,CHAB,Charlotte Bobcats,espn,true,,us,United States,wikipedia birthplace
1828,Reggie Evans,C,,,2294,Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,espn,undrafted,2002,,,,,wikipedia infobox,true,"Wikipedia draft team """" not in nba_draft_teams.csv",us,United States,wikipedia birthplace
6443,Reggie Jackson,G,,,103,Boston College,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,espn,drafted,2011,1,24,OKC,Oklahoma City Thunder,espn,true,,it,Italy,espn birthplace
552,Reggie Miller,G,,,26,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,espn,drafted,1987,1,11,IND,Indiana Pacers,espn,true,,us,United States,wikipedia birthplace
294,Richard Hamilton,G,,,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,espn,drafted,1999,1,7,WSH,Washington Wizards,espn,true,,us,United States,espn birthplace
1006,Richard Jefferson,F,,,12,Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,espn,drafted,2001,1,13,HOU,Houston Rockets,espn,true,,us,United States,wikipedia birthplace
193,Ricky Davis,G,,,2294,Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,espn,drafted,1998,1,21,CHH,Charlotte Hornets,espn,true,,us,United States,wikipedia birthplace
4011,Ricky Rubio,G,,,,,,,drafted,2009,1,5,MIN,Minnesota Timberwolves,espn,true,,es,Spain,espn birthplace
795,Rik Smits,C,,,2368,Marist,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,espn,drafted,1988,1,2,IND,Indiana Pacers,espn,true,,nl,Netherlands,espn birthplace
