season,team_id,espn_id,role,passing_yards,espn_order,starter,source
2004,WSH,3560,QB,1665,0,false,leaders
2004,WSH,445,QB,1194,1,false,leaders
2004,WSH,3579,QB,15,2,false,leaders
2004,WSH,2563,QB,0,3,false,leaders
2005,ARI,1682,QB,2713,0,false,leaders
2005,ARI,3609,QB,1836,1,false,leaders
2005,ARI,5727,QB,174,2,false,leaders
2005,ARI,4512,QB,0,3,false,leaders
2005,ATL,2549,QB,2412,0,false,leaders
2005,ATL,5615,QB,495,1,false,leaders
2005,BAL,4477,QB,1799,0,false,leaders
2005,BAL,2053,QB,1582,1,false,leaders
2005,BAL,4396,QB,0,2,false,leaders
2005,BAL,8437,QB,0,3,false,leaders
2005,BUF,1162,QB,1509,0,false,leaders
2005,BUF,5547,QB,1340,1,false,leaders
2005,BUF,8469,QB,3,2,false,leaders
2005,CAR,1693,QB,3421,0,false,leaders
2005,CAR,2655,QB,64,1,false,leaders
2005,CAR,3562,QB,0,2,false,leaders
2005,CHI,8520,QB,1869,0,false,leaders
2005,CHI,4480,QB,259,1,false,leaders
2005,CHI,341,QB,55,2,false,leaders
2005,CHI,1252,QB,18,3,false,leaders
2005,CIN,4459,QB,3836,0,false,leaders
2005,CIN,1383,QB,99,1,false,leaders
2005,CLE,649,QB,2321,0,false,leaders
2005,CLE,8481,QB,1002,1,false,leaders
2005,DAL,393,QB,3639,0,false,leaders
2005,DAL,924,QB,0,1,false,leaders
2005,DEN,1177,QB,3366,0,false,leaders
2005,DEN,5775,QB,7,1,false,leaders
2005,DEN,866,QB,0,2,false,leaders
2005,DET,3531,QB,2021,0,false,leaders
2005,DET,2026,QB,937,1,false,leaders
2005,DET,8559,QB,63,2,false,leaders
2005,GB,112,QB,3881,0,false,leaders
2005,GB,8439,QB,65,1,false,leaders
2005,GB,4242,QB,14,2,false,leaders
2005,GB,5612,QB,4,3,false,leaders
2005,HOU,3529,QB,2488,0,false,leaders
2005,HOU,927,QB,173,1,false,leaders
2005,HOU,4559,QB,0,2,false,leaders
2005,IND,1428,QB,3747,0,false,leaders
2005,IND,5718,QB,444,1,false,leaders
2005,IND,1963,QB,0,2,false,leaders
2005,JAX,4465,QB,2123,0,false,leaders
2005,JAX,3636,QB,1117,1,false,leaders
2005,JAX,4268,QB,100,2,false,leaders
2005,JAX,8436,QB,12,3,false,leaders
2005,KC,478,QB,4014,0,false,leaders
2005,LAC,2580,QB,3576,0,false,leaders
2005,LAC,5529,QB,115,1,false,leaders
2005,LAC,2553,QB,47,2,false,leaders
2005,LAR,2299,QB,2297,0,false,leaders
2005,LAR,531,QB,1277,1,false,leaders
2005,LAR,8664,QB,777,2,false,leaders
2005,LV,734,QB,3759,0,false,leaders
2005,LV,2607,QB,124,1,false,leaders
2005,MIA,622,QB,2996,0,false,leaders
2005,MIA,2658,QB,462,1,false,leaders
2005,MIA,1831,QB,0,2,false,leaders
2005,MIN,331,QB,1885,0,false,leaders
