season,pos,wiki_title,name,team,espn_id,note
2009,QB,Tom Brady,Tom Brady,New England,2330,
2009,QB,Matt Schaub,Matt Schaub,Houston,5615,
2009,QB,Vince Young,Vince Young,Tennessee,9589,
2009,QB,David Garrard,David Garrard,Jacksonville,3636,
2009,RB,Chris Johnson (running back),Chris Johnson,Tennessee,11258,
2009,RB,Maurice Jones-Drew,Maurice Jones-Drew,Jacksonville,9646,
2009,RB,Ray Rice,Ray Rice,Baltimore,11289,
2009,WR,Andre Johnson,Andre Johnson,Houston,4461,
2009,WR,Reggie Wayne,Reggie Wayne,Indianapolis,2578,
2009,WR,Brandon Marshall,Brandon Marshall,Denver,9705,
2009,WR,Wes Welker,Wes Welker,New England,5941,
2009,WR,Chad Ochocinco,Chad Ochocinco,Cincinnati,2584,
2009,WR,Vincent Jackson,Vincent Jackson,San Diego,8475,
2009,TE,Dallas Clark,Dallas Clark,Indianapolis,4482,
2009,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2009,TE,Heath Miller,Heath Miller,Pittsburgh,8444,
2009,QB,Drew Brees,Drew Brees,New Orleans,2580,
2009,QB,Brett Favre,Brett Favre,Minnesota,112,
2009,QB,Aaron Rodgers,Aaron Rodgers,Green Bay,8439,
2009,QB,Donovan McNabb,Donovan McNabb,Philadelphia,1753,
2009,QB,Tony Romo,Tony Romo,Dallas,5209,
2009,RB,Adrian Peterson,Adrian Peterson,Minnesota,10452,
2009,RB,Steven Jackson,Steven Jackson,St. Louis,5549,
2009,RB,DeAngelo Williams,DeAngelo Williams,Carolina,9613,
2009,RB,Frank Gore,Frank Gore,San Francisco,4429805,
2009,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2009,WR,DeSean Jackson,DeSean Jackson,Philadelphia,11283,
2009,WR,Sidney Rice,Sidney Rice,Minnesota,10488,
2009,WR,Miles Austin,Miles Austin,Dallas,10147,
2009,WR,"Steve Smith (American football, born 1985)",Steve Smith,N.Y. Giants,2622,
2009,WR,Roddy White,Roddy White,Atlanta,8442,
2009,TE,Vernon Davis,Vernon Davis,San Francisco,9592,
2009,TE,Jason Witten,Jason Witten,Dallas,4527,
2010,QB,Tom Brady,Tom Brady,New England,2330,
2010,QB,Philip Rivers,Philip Rivers,San Diego,5529,
2010,QB,Peyton Manning,Peyton Manning,Indianapolis Colts,1428,
2010,QB,Matt Cassel,Matt Cassel,Kansas City,8644,
2010,RB,Maurice Jones-Drew,Maurice Jones-Drew,Jacksonville,9646,
2010,RB,Arian Foster,Arian Foster,Houston,12497,
2010,RB,Jamaal Charles,Jamaal Charles,Kansas City,11307,
2010,RB,Chris Johnson (running back),Chris Johnson,Tennessee,11258,
2010,WR,Andre Johnson,Andre Johnson,Houston,4461,
2010,WR,Reggie Wayne,Reggie Wayne,Indianapolis,2578,
2010,WR,Brandon Lloyd,Brandon Lloyd,Denver,4582,
2010,WR,Dwayne Bowe,Dwayne Bowe,Kansas City,10467,
2010,WR,Wes Welker,Wes Welker,New England,5941,
2010,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2010,TE,Marcedes Lewis,Marcedes Lewis,Jacksonville,9614,
2010,TE,"Zach Miller (tight end, born 1985)",Zach Miller,Oakland,12699,
2010,QB,Michael Vick,Michael Vick,Philadelphia,2549,
2010,QB,Matt Ryan (American football),Matt Ryan,Atlanta,11237,
2010,QB,Drew Brees,Drew Brees,New Orleans,2580,
2010,RB,Michael Turner (American football),Michael Turner,Atlanta,5679,
2010,RB,Adrian Peterson,Adrian Peterson,Minnesota,10452,
2010,RB,Steven Jackson,Steven Jackson,St. Louis,5549,
2010,WR,Roddy White,Roddy White,Atlanta,8442,
2010,WR,Calvin Johnson,Calvin Johnson,Detroit,10447,
2010,WR,DeSean Jackson,DeSean Jackson,Philadelphia,11283,
2010,WR,Greg Jennings,Greg Jennings,Green Bay,9638,
2010,WR,Donald Driver,Donald Driver,Green Bay,1966,
2010,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2010,WR,Miles Austin,Miles Austin,Dallas,10147,
2010,TE,Jason Witten,Jason Witten,Dallas,4527,
2010,TE,Tony Gonzalez,Tony Gonzalez,Atlanta,1231,
